Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
XF,SF,-0.00284431284454381,0.00198213431518403,0.715914311203357,-0.00971123215159646,0.00402260646250885
SF,XF,0.00284431284454381,0.00198213431518403,0.715914311203357,-0.00402260646250885,0.00971123215159646
BF,XF,0.00259071751033907,0.00198213431518403,0.787512134428146,-0.00427620179671358,0.00945763681739173
XF,BF,-0.00259071751033907,0.00198213431518403,0.787512134428146,-0.00945763681739173,0.00427620179671359
SF,UF,0.00146252981464589,0.00198213431518403,0.98061000270266,-0.00540438949240677,0.00832944912169855
UF,SF,-0.00146252981464589,0.00198213431518403,0.98061000270266,-0.00832944912169855,0.00540438949240677
UF,XF,0.00138178302989792,0.00198213431518403,0.985374431229561,-0.00548513627715473,0.00824870233695058
XF,UF,-0.00138178302989792,0.00198213431518403,0.985374431229561,-0.00824870233695058,0.00548513627715473
BF,UF,0.00120893448044115,0.00198213431518403,0.992628106672242,-0.0056579848266115,0.00807585378749381
UF,BF,-0.00120893448044115,0.00198213431518403,0.992628106672242,-0.00807585378749381,0.0056579848266115
BF,SF,-0.000253595334204736,0.00198213431518403,0.999999078522574,-0.00712051464125739,0.00661332397284792
SF,BF,0.000253595334204736,0.00198213431518403,0.999999078522574,-0.00661332397284792,0.00712051464125739
